date,leads_generated,ai_qualified,ai_response_time_sec,human_contacted,human_response_time_sec,fumbled_leads,fumble_rate,deals_won,avg_deal_size,revenue,pipeline_velocity_days
2025-11-04,79,52,14.4,30,28474.7,22,42.31,10,1658.62,16586.19,3.1
2025-11-05,54,35,11.1,23,25732.7,12,34.29,7,1862.44,13037.05,7.4
2025-11-06,100,76,18.4,58,18199.7,18,23.68,19,1447.2,27496.83,9.2
2025-11-07,74,50,16.3,28,8327.2,22,44.0,5,1088.64,5443.19,3.1
2025-11-08,61,39,12.2,31,13809.7,8,20.51,6,3182.25,19093.5,12.4
2025-11-09,117,77,15.6,55,22927.1,22,28.57,18,4483.24,80698.35,12.6
2025-11-10,107,73,16.4,54,7322.1,19,26.03,21,1731.58,36363.08,8.2
2025-11-11,137,88,14.8,47,15733.6,41,46.59,11,2454.51,26999.62,7.1
2025-11-12,149,119,11.1,85,8317.7,34,28.57,17,1421.34,24162.7,13.6
2025-11-13,144,91,11.6,52,18335.8,39,42.86,16,1886.37,30181.98,11.3
2025-11-14,80,62,16.6,39,24262.1,23,37.1,14,2161.93,30266.97,6.7
2025-11-15,143,90,10.4,57,24506.1,33,36.67,20,4678.12,93562.45,8.9
2025-11-16,60,43,17.8,22,10929.4,21,48.84,4,3374.61,13498.44,12.8
2025-11-17,117,93,10.6,71,24783.9,22,23.66,18,4894.11,88093.91,6.2
2025-11-18,138,107,17.6,71,9792.1,36,33.64,21,2427.19,50970.89,11.7
2025-11-19,125,97,10.1,72,27470.8,25,25.77,25,1520.78,38019.45,3.9
2025-11-20,52,37,16.3,29,15797.7,8,21.62,7,3497.7,24483.9,12.1
2025-11-21,143,108,14.3,74,25696.1,34,31.48,22,1866.75,41068.42,4.9
2025-11-22,50,37,11.1,21,13634.1,16,43.24,6,2591.83,15550.97,10.4
2025-11-23,55,34,15.0,20,13589.6,14,41.18,4,4582.88,18331.51,10.6
2025-11-24,62,38,19.7,26,16217.1,12,31.58,8,4025.33,32202.62,11.6
2025-11-25,97,66,10.1,51,20231.5,15,22.73,12,4678.41,56140.96,13.1
2025-11-26,148,114,20.0,65,25392.6,49,42.98,23,1923.76,44246.51,4.1
2025-11-27,147,96,18.7,48,7654.1,48,50.0,14,1954.86,27368.02,10.6
2025-11-28,106,65,11.6,40,11209.0,25,38.46,14,2664.28,37299.93,4.0
2025-11-29,98,60,11.3,34,25765.8,26,43.33,13,4305.03,55965.4,6.7
2025-11-30,77,54,17.2,43,10041.9,11,20.37,9,3777.42,33996.81,12.2
2025-12-01,134,98,19.5,64,26938.4,34,34.69,25,4388.63,109715.75,6.4
2025-12-02,69,48,14.5,36,9360.7,12,25.0,9,4007.2,36064.76,4.0
2025-12-03,82,55,16.2,30,25789.1,25,45.45,8,4668.09,37344.69,8.1
2025-12-04,77,48,10.0,31,9514.6,17,35.42,8,3357.09,26856.7,6.0
2025-12-05,67,50,19.5,26,10560.8,24,48.0,10,1151.14,11511.37,13.8
2025-12-06,50,38,13.1,29,14046.0,9,23.68,9,1320.13,11881.17,5.7
2025-12-07,127,89,19.3,55,25987.9,34,38.2,15,4916.99,73754.9,13.6
2025-12-08,82,63,18.5,35,20684.7,28,44.44,7,4346.84,30427.9,4.9
2025-12-09,57,38,15.8,28,28243.6,10,26.32,8,1241.79,9934.3,11.2
2025-12-10,106,73,13.1,47,14515.5,26,35.62,16,3175.57,50809.2,12.6
2025-12-11,104,67,18.5,44,11667.8,23,34.33,14,2430.87,34032.14,12.3
2025-12-12,95,70,11.0,43,28438.0,27,38.57,15,1639.76,24596.45,6.1
2025-12-13,82,59,17.6,42,18213.3,17,28.81,15,2748.31,41224.68,4.4
2025-12-14,106,83,17.9,55,21171.0,28,33.73,21,2713.37,56980.79,6.6
2025-12-15,147,113,13.2,72,16165.7,41,36.28,16,4831.28,77300.44,7.4
2025-12-16,137,87,15.5,44,23707.2,43,49.43,13,3502.36,45530.66,3.6
2025-12-17,71,43,12.9,29,19429.6,14,32.56,9,3197.01,28773.05,6.0
2025-12-18,74,46,18.5,31,11228.6,15,32.61,7,4492.14,31445.0,11.2
2025-12-19,115,78,12.6,61,24420.4,17,21.79,15,4390.26,65853.89,11.3
2025-12-20,79,54,11.9,28,22811.7,26,48.15,7,4280.24,29961.66,14.0
2025-12-21,57,39,18.0,28,23615.9,11,28.21,7,2815.41,19707.89,9.5
2025-12-22,147,97,19.2,56,28564.0,41,42.27,18,2854.05,51372.83,9.7
2025-12-23,77,50,11.1,26,14709.7,24,48.0,9,3431.88,30886.96,4.1
2025-12-24,135,97,19.6,68,10983.8,29,29.9,20,3593.99,71879.81,3.3
2025-12-25,51,31,12.5,19,17728.7,12,38.71,4,3693.57,14774.27,9.6
2025-12-26,79,47,10.8,29,10525.8,18,38.3,7,3512.73,24589.11,9.0
2025-12-27,73,48,16.1,36,23469.4,12,25.0,11,2449.17,26940.89,7.0
2025-12-28,137,83,19.9,58,21912.6,25,30.12,12,3422.12,41065.41,8.3
2025-12-29,60,39,18.9,25,16129.8,14,35.9,5,3856.49,19282.43,10.7
2025-12-30,111,77,14.3,52,12241.3,25,32.47,20,3355.18,67103.56,6.4
2025-12-31,94,71,11.6,41,21877.4,30,42.25,10,4170.01,41700.07,4.4
2026-01-01,126,77,10.1,59,19756.9,18,23.38,15,1930.38,28955.68,9.8
2026-01-02,100,79,19.8,54,16766.0,25,31.65,16,3729.92,59678.66,4.1
2026-01-03,82,50,10.7,27,17681.5,23,46.0,9,2941.98,26477.85,6.7
2026-01-04,58,41,12.7,28,28307.3,13,31.71,6,1848.5,11091.01,8.2
2026-01-05,146,110,19.0,66,28628.0,44,40.0,14,1211.89,16966.48,12.4
2026-01-06,142,87,11.1,44,9457.4,43,49.43,10,4880.31,48803.06,10.3
2026-01-07,127,95,15.4,70,20069.4,25,26.32,18,3244.44,58399.93,8.9
2026-01-08,132,105,14.1,76,9354.9,29,27.62,27,2485.67,67113.03,3.4
2026-01-09,86,62,11.2,48,8877.7,14,22.58,18,3828.55,68913.9,6.6
2026-01-10,89,66,16.0,46,15606.0,20,30.3,13,4959.47,64473.11,5.4
2026-01-11,91,59,17.7,43,13516.8,16,27.12,9,1045.73,9411.58,7.7
2026-01-12,91,72,14.7,41,26450.6,31,43.06,12,3396.7,40760.43,4.1
2026-01-13,88,69,15.9,41,20714.4,28,40.58,15,2095.96,31439.44,8.6
2026-01-14,145,91,17.2,62,21881.0,29,31.87,16,2255.52,36088.28,10.5
2026-01-15,71,48,11.9,24,28153.2,24,50.0,6,4877.4,29264.39,4.5
2026-01-16,108,69,17.9,50,9632.3,19,27.54,19,1778.52,33791.85,9.7
2026-01-17,148,114,19.6,68,9480.4,46,40.35,16,3001.98,48031.67,11.7
2026-01-18,65,47,13.2,28,21497.4,19,40.43,8,4248.13,33985.07,4.7
2026-01-19,128,78,11.9,54,25666.4,24,30.77,13,2308.77,30013.96,8.9
2026-01-20,71,54,17.7,29,17218.7,25,46.3,10,2349.32,23493.18,10.0
2026-01-21,55,39,11.5,29,14877.7,10,25.64,7,4363.56,30544.89,3.6
2026-01-22,89,59,12.8,45,23420.1,14,23.73,9,3858.75,34728.75,8.8
2026-01-23,140,92,15.7,59,17774.5,33,35.87,17,1822.52,30982.8,11.3
2026-01-24,95,75,12.6,52,27519.5,23,30.67,17,4485.09,76246.56,12.1
2026-01-25,86,61,11.6,40,12177.1,21,34.43,13,3112.23,40459.04,7.5
2026-01-26,76,60,10.7,30,11892.8,30,50.0,11,4916.95,54086.48,10.2
2026-01-27,138,88,19.7,47,9384.3,41,46.59,10,3292.51,32925.12,11.6
2026-01-28,86,68,14.3,37,17264.9,31,45.59,12,4328.9,51946.84,8.0
2026-01-29,109,71,16.5,56,8259.6,15,21.13,21,3249.13,68231.73,5.8
2026-01-30,145,101,13.3,55,12480.2,46,45.54,20,3457.64,69152.8,13.0
2026-01-31,73,45,10.1,29,28763.4,16,35.56,9,2233.58,20102.21,12.6
2026-02-01,128,77,18.2,45,10432.9,32,41.56,11,2874.32,31617.51,7.7
2026-02-02,78,49,17.6,39,24000.3,10,20.41,10,1979.24,19792.36,5.4
